,height,weight,url,name,firstyear,lastyear,primary_pos
15105,6-00,190,player.php?p=salazje01,Jeff Salazar,2006,2009,CF
15106,5-09,180,player.php?p=salazlu01,Luis Salazar,1987,1992,P
15107,5-11,178,player.php?p=salazos01,Oscar Salazar,2002,2010,SS
15108,6-06,180,player.php?p=salech01,Chris Sale,2010,2018,P
15109,5-09,160,player.php?p=salefr01,Freddy Sale,1924,1924,P
15110,Unknown,Unknown,player.php?p=salesed01,Ed Sales,1890,1890,SS
15111,6-00,180,player.php?p=salisbi01,Bill Salisbury,1902,1902,P
15112,5-08½,162,player.php?p=salisha01,Harry Salisbury,1879,1882,CF
15113,5-10,190,player.php?p=salkebi01,Bill Salkeld,1945,1950,C
15114,6-05,215,player.php?p=salkero01,Roger Salkeld,1993,1996,P
15115,6-03,180,player.php?p=sallesl01,Slim Sallee,1908,1921,P
15116,6-04,225,player.php?p=salmobr01,Brad Salmon,2007,2007,P
15117,5-10,170,player.php?p=salmoch01,Chico Salmon,1964,1972,CF
15118,6-02,170,player.php?p=salmoro01,Roger Salmon,1912,1912,P
15119,6-03,235,player.php?p=salmoti01,Tim Salmon,1992,2006,CF
15120,5-07,200,player.php?p=saloman01,Angel Salome,2008,2008,CF
15121,6-04,235,player.php?p=saltaja01,Jarrod Saltalamacchia,2007,2017,1B
15122,5-11,165,player.php?p=saltzja01,Jack Saltzgaver,1932,1945,1B
15123,6-00,190,player.php?p=salvegu01,Gus Salve,1908,1908,P
15124,6-00½,180,player.php?p=salveja01,Jack Salveson,1933,1945,P
15125,6-04,210,player.php?p=salvoma01,Manny Salvo,1939,1943,P
15126,6-05,240,player.php?p=samarje01,Jeff Samardzija,2008,2018,P
15127,6-01,190,player.php?p=sambijo01,Joe Sambito,1976,1987,P
15128,5-10,165,player.php?p=samcoed01,Ed Samcoff,1951,1951,2B
15129,5-11,156,player.php?p=samforo01,Ron Samford,1954,1959,3B
15130,6-00,200,player.php?p=sammocl01,Clint Sammons,2007,2009,C
15131,6-02,195,player.php?p=sampebi01,Bill Sampen,1990,1994,P
15132,5-09,175,player.php?p=samplbi01,Billy Sample,1978,1986,2B
15133,6-02,210,player.php?p=sampsad01,Adrian Sampson,2016,2016,P
15134,6-02,210,player.php?p=sampsbe01,Benj Sampson,1998,1999,P
15135,6-01,195,player.php?p=sampsch01,Chris Sampson,2006,2010,P
15136,6-02,225,player.php?p=sampske01,Keyvius Sampson,2015,2016,P
15137,6-01,170,player.php?p=samueam01,Amado Samuel,1962,1964,3B
15138,5-11,170,player.php?p=samueju01,Juan Samuel,1983,1998,3B
15139,5-07,147,player.php?p=samulik01,Ike Samuels,1895,1895,SS
15140,6-01½,196,player.php?p=samuejo01,Joe Samuels,1930,1930,P
15141,6-05,210,player.php?p=samuero01,Roger Samuels,1988,1989,P
15142,6-02,210,player.php?p=sanabal01,Alex Sanabia,2010,2013,P
15143,6-00,190,player.php?p=sanchbr01,Brian Sanches,2006,2012,P
15144,6-04,215,player.php?p=sanchaa01,Aaron Sanchez,2014,2018,P
15145,6-00,216,player.php?p=sanchad01,Adrian Sanchez,2017,2018,SS
15146,6-00,185,player.php?p=sanchal01,Alejandro Sanchez,1982,1987,CF
15147,6-02,185,player.php?p=sanchal02,Alex Sanchez,1989,1989,P
15148,5-10,180,player.php?p=sanchal03,Alex Sanchez,2001,2005,LF
15149,6-02,185,player.php?p=sanchan02,Angel Sanchez,2006,2013,3B
15150,6-01,190,player.php?p=sanchan03,Angel Sanchez,2017,2017,P
15151,6-00,205,player.php?p=sanchan01,Anibal Sanchez,2006,2018,P
15152,5-11,185,player.php?p=sanchca01,Carlos Sanchez,2014,2018,RF
15153,5-11,160,player.php?p=sanchce01,Celerino Sanchez,1972,1973,RF
15154,6-00,190,player.php?p=sanchdu01,Duaner Sanchez,2002,2009,P
15155,5-11,175,player.php?p=sanched01,Eduardo Sanchez,2011,2013,P
15156,6-03,180,player.php?p=sanchfe01,Felix Sanchez,2003,2003,P
15157,5-11,185,player.php?p=sanchfr01,Freddy Sanchez,2002,2011,SS
