,height,weight,url,name,firstyear,lastyear,primary_pos
0,6-05,220,player.php?p=aardsda01,David Aardsma,2004,2015,P
1,6-00,180,player.php?p=aaronha01,Hank Aaron,1954,1976,3B
2,6-01,200,player.php?p=aaronto01,Tommie Aaron,1962,1971,CF
3,6-03,210,player.php?p=aasedo01,Don Aase,1977,1990,P
4,6-00,210,player.php?p=abadan01,Andy Abad,2001,2006,RF
5,6-01,220,player.php?p=abadfe01,Fernando Abad,2010,2017,P
6,5-11,170,player.php?p=abbated01,Ed Abbaticchio,1897,1910,OF
7,5-11,175,player.php?p=abbeybe01,Bert Abbey,1892,1896,P
8,5-08½,169,player.php?p=abbeych01,Charlie Abbey,1896,1897,P
9,5-11,190,player.php?p=abbotda01,Dan Abbott,1890,1890,P
10,5-10,180,player.php?p=abbotfr01,Fred Abbott,1903,1905,1B
11,6-06,200,player.php?p=abbotgl01,Glenn Abbott,1973,1984,P
12,6-02,190,player.php?p=abbotje01,Jeff Abbott,1997,2001,RF
13,6-03,210,player.php?p=abbotji01,Jim Abbott,1989,1999,P
14,6-00,185,player.php?p=abbotku01,Kurt Abbott,1993,2001,CF
15,6-04,200,player.php?p=abbotky01,Kyle Abbott,1991,1996,P
16,5-09,165,player.php?p=abbotod01,Ody Abbott,1910,1910,CF
17,6-03,185,player.php?p=abbotpa01,Paul Abbott,1990,2004,P
18,6-02,195,player.php?p=aberal01,Al Aber,1950,1957,P
19,6-03,220,player.php?p=abercre01,Reggie Abercrombie,2006,2008,RF
20,5-10,190,player.php?p=abernbi01,Bill Abernathie,1952,1952,P
21,6-01,185,player.php?p=abernbr01,Brent Abernathy,2001,2005,LF
22,6-02,210,player.php?p=abernte01,Ted Abernathy,1942,1944,P
23,6-04,215,player.php?p=abernte02,Ted Abernathy,1955,1972,P
24,6-00,170,player.php?p=abernwo01,Woody Abernathy,1946,1947,P
25,6-00,200,player.php?p=aberscl01,Cliff Aberson,1947,1949,RF
26,6-03,200,player.php?p=ablesha01,Harry Ables,1905,1911,P
27,6-01,190,player.php?p=abnersh01,Shawn Abner,1987,1992,LF
28,6-00,185,player.php?p=abramca01,Cal Abrams,1949,1956,1B
29,5-09,170,player.php?p=abramge01,George Abrams,1923,1923,P
30,6-00,185,player.php?p=abregjo01,Johnny Abrego,1985,1985,P
31,6-00,220,player.php?p=abreubo01,Bobby Abreu,1996,2014,CF
32,5-08,160,player.php?p=abreujo01,Joe Abreu,1942,1942,2B
33,6-03,255,player.php?p=abreujo02,Jose Abreu,2014,2018,1B
34,6-00,185,player.php?p=abreuju01,Juan Abreu,2011,2011,P
35,5-10,200,player.php?p=abreuto01,Tony Abreu,2007,2014,SS
36,6-02,170,player.php?p=abreuwi01,Winston Abreu,2006,2009,P
37,6-00,185,player.php?p=abstebi01,Bill Abstein,1906,1910,RF
38,6-00,195,player.php?p=accarje01,Jeremy Accardo,2005,2012,P
39,6-00,185,player.php?p=acevejo01,Jose Acevedo,2001,2005,P
40,6-02,195,player.php?p=aceveju01,Juan Acevedo,1995,2003,P
41,6-02,205,player.php?p=aceveal01,Alfredo Aceves,2008,2014,P
42,6-05,215,player.php?p=achteaj01,A.J. Achter,2014,2016,P
43,6-02,212,player.php?p=ackerji01,Jim Acker,1983,1992,P
44,6-04,215,player.php?p=ackerto01,Tom Acker,1956,1959,P
45,6-01,205,player.php?p=ackledu01,Dustin Ackley,2011,2016,RF
46,6-02,202,player.php?p=acklefr01,Fritz Ackley,1963,1964,P
47,5-10,165,player.php?p=acostcy01,Cy Acosta,1972,1975,P
48,6-05,215,player.php?p=acosted01,Ed Acosta,1970,1972,P
49,5-06,134,player.php?p=acostjo01,Jose Acosta,1920,1922,P
50,6-04,215,player.php?p=acostma01,Manny Acosta,2007,2012,P
51,5-07,140,player.php?p=acostme01,Merito Acosta,1913,1918,CF
52,6-08,235,player.php?p=acrema01,Mark Acre,1994,1997,P
53,6-00,180,player.php?p=acunaro01,Ronald Acuna Jr.,2018,2018,CF
54,6-00,175,player.php?p=adairje01,Jerry Adair,1958,1970,1B
55,5-11,154,player.php?p=adairji01,Jimmy Adair,1931,1931,SS
56,6-04,225,player.php?p=adamja01,Jason Adam,2018,2018,P
57,6-00,185,player.php?p=adamecr01,Cristhian Adames,2014,2017,1B
58,6-00,200,player.php?p=adamewi01,Willy Adames,2018,2018,2B
59,5-10½,182,player.php?p=adamsac01,Ace Adams,1941,1946,P
60,5-11,200,player.php?p=adamsau01,Austin Adams,2014,2016,P
61,6-02,225,player.php?p=adamsau02,Austin Adams,2017,2018,P
62,5-11½,185,player.php?p=adamsba01,Babe Adams,1906,1926,P
63,6-01,185,player.php?p=adamsbe01,Bert Adams,1910,1919,1B
64,5-11,168,player.php?p=adamsbo01,Bob Adams,1925,1925,P
65,6-00½,165,player.php?p=adamsbo02,Bob Adams,1931,1932,P
66,6-02,200,player.php?p=adamsbo04,Bob Adams,1977,1977,C
67,5-10,170,player.php?p=adamsbo03,Bobby Adams,1946,1959,RF
68,6-00,180,player.php?p=adamsbu01,Buster Adams,1939,1947,RF
69,5-11½,165,player.php?p=adamsda01,Dan Adams,1914,1915,P
70,6-01,205,player.php?p=adamsda02,David Adams,2013,2013,1B
71,6-00,185,player.php?p=adamsdi01,Dick Adams,1947,1947,LF
72,6-03,185,player.php?p=adamsdo01,Doug Adams,1969,1969,C
73,5-06,175,player.php?p=adamsge01,George Adams,1879,1879,1B
74,6-00,185,player.php?p=adamsgl01,Glenn Adams,1975,1982,RF
75,5-09,160,player.php?p=adamshe01,Herb Adams,1948,1950,RF
76,Unknown,Unknown,player.php?p=adamsji01,Jim Adams,1890,1890,C
77,6-00,190,player.php?p=adamsjo01,Joe Adams,1902,1902,P
78,6-02,170,player.php?p=adamska01,Karl Adams,1914,1915,P
79,6-03,220,player.php?p=adamsla01,Lane Adams,2014,2018,RF
80,6-03,245,player.php?p=adamsma01,Matt Adams,2012,2018,LF
81,5-09,180,player.php?p=adamsmi02,Mike Adams,1972,1978,CF
82,6-05,210,player.php?p=adamsmi03,Mike Adams,2004,2014,P
83,6-00,185,player.php?p=adamsre01,Red Adams,1946,1946,P
84,6-00,165,player.php?p=adamsri01,Rick Adams,1905,1905,P
85,6-02,180,player.php?p=adamsri02,Ricky Adams,1982,1985,2B
86,6-01,180,player.php?p=adamsru01,Russ Adams,2004,2009,LF
87,5-11,185,player.php?p=adamsry01,Ryan Adams,2011,2011,2B
88,5-05½,151,player.php?p=adamssp01,Sparky Adams,1922,1934,RF
89,5-09,158,player.php?p=adamssp02,Spencer Adams,1923,1927,SS
90,6-03,205,player.php?p=adamste01,Terry Adams,1995,2005,P
91,6-04,180,player.php?p=adamswi01,Willie Adams,1912,1919,P
92,6-07,215,player.php?p=adamswi02,Willie Adams,1996,1997,P
93,6-04,185,player.php?p=adamsjo02,Joel Adamson,1996,1998,P
94,6-02,185,player.php?p=adamsmi01,Mike Adamson,1967,1969,P
95,6-04,220,player.php?p=adcocjo01,Joe Adcock,1950,1966,RF
96,6-04,235,player.php?p=adcocna01,Nate Adcock,2011,2015,P
97,6-00,175,player.php?p=addisbo01,Bob Addis,1950,1953,LF
98,6-05,200,player.php?p=adducji01,Jim Adduci,1983,1989,RF
99,6-02,210,player.php?p=adducji02,Jim Adduci,2013,2018,1B
100,5-08,160,player.php?p=addybo01,Bob Addy,1876,1877,OF
101,6-03,185,player.php?p=adenhni01,Nick Adenhart,2008,2009,P
102,6-01,188,player.php?p=aderhmo01,Morrie Aderholt,1939,1945,3B
103,6-02,195,player.php?p=adkinde01,Dewey Adkins,1942,1949,P
104,5-10,165,player.php?p=adkindi01,Dick Adkins,1942,1942,SS
105,5-10,220,player.php?p=adkindo01,Doc Adkins,1902,1903,P
106,5-11,175,player.php?p=adkingr01,Grady Adkins,1928,1929,P
107,6-00,200,player.php?p=adkinjo01,Jon Adkins,2003,2008,P
108,6-06,210,player.php?p=adkinst01,Steve Adkins,1990,1990,P
109,6-05,225,player.php?p=adlemti01,Tim Adleman,2016,2017,P
110,6-00,187,player.php?p=adlesda01,Dave Adlesh,1963,1968,C
111,6-01,170,player.php?p=adriaeh01,Ehire Adrianza,2013,2018,1B
112,6-04,185,player.php?p=afenitr01,Troy Afenir,1987,1992,C
113,6-04,225,player.php?p=affelje01,Jeremy Affeldt,2002,2015,P
114,6-00,225,player.php?p=agbaybe01,Benny Agbayani,1998,2002,CF
115,5-11,195,player.php?p=ageeto01,Tommie Agee,1962,1973,LF
116,6-02,200,player.php?p=agganha01,Harry Agganis,1954,1955,1B
117,5-11,165,player.php?p=aglerjo01,Joe Agler,1912,1915,2B
118,5-11,185,player.php?p=agnewsa01,Sam Agnew,1913,1919,C
119,6-02,190,player.php?p=agostju01,Juan Agosto,1981,1993,P
120,5-09,185,player.php?p=aguaylu01,Luis Aguayo,1980,1989,3B
121,5-11,180,player.php?p=aguilch01,Chris Aguila,2004,2008,CF
122,6-03,250,player.php?p=aguilje01,Jesus Aguilar,2014,2018,3B
123,6-05,205,player.php?p=aguilri01,Rick Aguilera,1985,2000,P
124,6-04,205,player.php?p=aguirha01,Hank Aguirre,1955,1970,P
125,Unknown,Unknown,player.php?p=ahearch01,Charlie Ahearn,1880,1880,C
126,6-03,195,player.php?p=ahearpa01,Pat Ahearne,1995,1995,P
127,6-02,195,player.php?p=ahmedni01,Nick Ahmed,2014,2018,2B
128,6-03,220,player.php?p=aikenwi01,Willie Aikens,1977,1985,1B
129,6-04,175,player.php?p=aingeda01,Danny Ainge,1979,1981,RF
130,5-11,180,player.php?p=ainsmed01,Eddie Ainsmith,1913,1924,P
131,6-03,192,player.php?p=ainswku01,Kurt Ainsworth,2001,2004,P
132,5-11½,175,player.php?p=aitchra01,Raleigh Aitchison,1911,1915,P
133,5-11½,175,player.php?p=aitonge01,George Aiton,1912,1912,OF
134,6-01,180,player.php?p=akejo01,John Ake,1884,1884,SS
135,6-02,190,player.php?p=akerja01,Jack Aker,1964,1974,P
136,6-02,210,player.php?p=akerfda01,Darrel Akerfelds,1986,1991,P
137,5-11,178,player.php?p=akersbi01,Bill Akers,1929,1932,2B
138,5-11,175,player.php?p=akersje01,Jerry Akers,1912,1912,P
139,6-02,160,player.php?p=albagi01,Gibson Alba,1988,1988,P
140,6-05,250,player.php?p=albaljo01,Jonathan Albaladejo,2007,2012,P
141,6-03,215,player.php?p=albanjo01,Joe Albanese,1958,1958,P
142,6-02,190,player.php?p=alberjo01,Jose Alberro,1995,1997,P
143,6-01,200,player.php?p=alberan01,Andrew Albers,2013,2017,P
144,6-01,225,player.php?p=alberma01,Matt Albers,2006,2018,P
145,5-11,215,player.php?p=alberha01,Hanser Alberto,2015,2018,1B
146,6-02,205,player.php?p=alberbu01,Butch Alberts,1978,1978,1B
147,6-00,230,player.php?p=albercy01,Cy Alberts,1910,1910,P
148,5-06½,180,player.php?p=albergu01,Gus Alberts,1884,1891,SS
149,5-08,165,player.php?p=albieoz01,Ozzie Albies,2017,2018,2B
150,6-01,175,player.php?p=albosed01,Ed Albosta,1941,1946,P
151,5-10½,165,player.php?p=albreed01,Ed Albrecht,1949,1950,P
152,5-09,175,player.php?p=albrija01,Jack Albright,1947,1947,SS
153,6-00,195,player.php?p=albural01,Al Alburquerque,2011,2017,P
154,6-00,190,player.php?p=alburvi01,Vic Albury,1973,1976,P
155,6-05,195,player.php?p=alcalsa01,Santo Alcala,1976,1977,P
156,5-10,170,player.php?p=alcanar01,Arismendy Alcantara,2014,2017,LF
157,6-02,180,player.php?p=alcanis01,Israel Alcantara,2000,2002,LF
158,6-04,220,player.php?p=alcanra01,Raul Alcantara,2016,2017,P
159,6-04,170,player.php?p=alcansa01,Sandy Alcantara,2017,2018,P
160,6-02,190,player.php?p=alcanvi01,Victor Alcantara,2017,2018,P
161,5-09,165,player.php?p=alcarlu01,Luis Alcaraz,1967,1970,SS
162,5-09½,160,player.php?p=alcocsc01,Scotty Alcock,1914,1914,2B
163,5-10,190,player.php?p=alderda01,Dale Alderson,1943,1944,P
164,6-04,195,player.php?p=aldresc01,Scott Aldred,1990,2000,P
165,5-11,185,player.php?p=aldremi01,Mike Aldrete,1996,1996,P
166,6-03,210,player.php?p=aldrija01,Jay Aldrich,1987,1990,P
167,6-01,225,player.php?p=aldrico01,Cory Aldridge,2001,2010,CF
168,5-09½,175,player.php?p=aldrivi01,Vic Aldridge,1917,1928,P
169,6-01½,215,player.php?p=alenoch01,Chuck Aleno,1941,1944,2B
170,6-02½,205,player.php?p=alexabo01,Bob Alexander,1955,1957,P
171,6-03,210,player.php?p=alexada01,Dale Alexander,1929,1933,LF
172,6-03,205,player.php?p=alexado01,Doyle Alexander,1971,1989,P
173,6-02,200,player.php?p=alexaga01,Gary Alexander,1975,1981,RF
174,5-11,190,player.php?p=alexage01,Gerald Alexander,1990,1992,P
175,6-01,185,player.php?p=alexape01,Grover Alexander,1911,1930,LF
176,6-00,190,player.php?p=alexahu01,Hugh Alexander,1937,1937,LF
177,5-10,165,player.php?p=alexama02,Manny Alexander,1996,2006,P
178,5-11,169,player.php?p=alexama01,Matt Alexander,1973,1981,SS
179,5-04½,163,player.php?p=alexani01,Nin Alexander,1884,1884,SS
180,6-02,190,player.php?p=alexasc01,Scott Alexander,2015,2018,P
181,5-10½,165,player.php?p=alexawa01,Walt Alexander,1912,1917,C
182,5-10,185,player.php?p=alfarja01,Jason Alfaro,2004,2004,SS
183,6-02,225,player.php?p=alfarjo01,Jorge Alfaro,2016,2018,3B
184,6-05,235,player.php?p=alfonan01,Antonio Alfonseca,1997,2007,P
185,5-11,210,player.php?p=alfoned01,Edgardo Alfonzo,1995,2006,1B
186,6-00,225,player.php?p=alfonel01,Eliezer Alfonzo,2006,2011,C
187,6-01,215,player.php?p=alforan01,Anthony Alford,2017,2018,RF
188,5-09,177,player.php?p=alicelu01,Luis Alicea,1988,2002,RF
189,6-05,225,player.php?p=allanan01,Andy Allanson,1986,1995,1B
190,6-01,175,player.php?p=allarbr01,Brian Allard,1979,1981,P
191,6-00,185,player.php?p=allenbe01,Bernie Allen,1962,1973,3B
192,5-11,175,player.php?p=allenbo01,Bob Allen,1890,1900,2B
193,5-10,180,player.php?p=allenbo02,Bob Allen,1919,1919,CF
194,6-01,165,player.php?p=allenbo03,Bob Allen,1937,1937,P
195,6-02,185,player.php?p=allenbo04,Bob Allen,1961,1967,P
196,6-02,235,player.php?p=allenbr01,Brandon Allen,2009,2012,LF
197,6-01,210,player.php?p=allench01,Chad Allen,1999,2005,CF
198,6-01,210,player.php?p=allenco01,Cody Allen,2012,2018,P
199,5-11,190,player.php?p=allendi01,Dick Allen,1963,1977,CF
200,6-04,235,player.php?p=allendu01,Dusty Allen,2000,2000,3B
201,6-01,180,player.php?p=allenet01,Ethan Allen,1926,1938,RF
202,5-04,175,player.php?p=allenfr01,Frank Allen,1912,1917,P
203,6-00,175,player.php?p=allengr01,Greg Allen,2017,2018,LF
204,6-00,190,player.php?p=allenha02,Hank Allen,1966,1973,C
205,5-11,160,player.php?p=allenhe01,Hezekiah Allen,1884,1884,C
206,6-00,187,player.php?p=allenho01,Horace Allen,1919,1919,CF
207,5-09,160,player.php?p=allenja01,Jack Allen,1879,1879,CF
208,6-00,205,player.php?p=allenja02,Jamie Allen,1983,1983,3B
209,6-01,170,player.php?p=allenjo01,John Allen,1914,1914,P
210,6-00,180,player.php?p=allenjo02,Johnny Allen,1932,1944,P
211,5-11,175,player.php?p=allenki01,Kim Allen,1980,1981,SS
212,6-01,185,player.php?p=allenll01,Lloyd Allen,1969,1975,P
213,6-02,208,player.php?p=allenlu01,Luke Allen,2002,2003,RF
214,5-08,150,player.php?p=allenmy01,Myron Allen,1883,1888,2B
215,6-02,190,player.php?p=allenne01,Neil Allen,1979,1989,P
216,6-00,180,player.php?p=allenni01,Nick Allen,1914,1920,C
217,5-08½,185,player.php?p=allenpe01,Pete Allen,1893,1893,C
218,6-01,185,player.php?p=allenro02,Rod Allen,1983,1988,RF
219,6-03,205,player.php?p=allenro01,Ron Allen,1972,1972,1B
220,6-01,180,player.php?p=allensl01,Sled Allen,1910,1910,1B
221,5-11,185,player.php?p=allenga01,Gary Allenson,1979,1985,3B
222,6-00,189,player.php?p=allenje01,Jermaine Allensworth,1996,1999,LF
223,6-00,165,player.php?p=alleyge01,Gene Alley,1963,1973,3B
224,6-01,190,player.php?p=alliega01,Gair Allie,1954,1954,3B
225,6-00,190,player.php?p=alliebo01,Bob Allietta,1975,1975,C
226,5-08,150,player.php?p=allisar01,Art Allison,1876,1876,1B
227,6-04,220,player.php?p=allisbo01,Bob Allison,1958,1970,1B
228,6-03,215,player.php?p=allisda01,Dana Allison,1991,1991,P
229,5-10½,160,player.php?p=allisdo01,Doug Allison,1878,1883,P
230,6-01,185,player.php?p=allisma01,Mack Allison,1911,1913,P
231,5-10,155,player.php?p=allismi01,Milo Allison,1913,1917,LF
232,6-00,190,player.php?p=allrebe01,Beau Allred,1989,1991,CF
233,6-00,170,player.php?p=almadme01,Mel Almada,1933,1939,1B
234,6-03,220,player.php?p=almanar01,Armando Almanza,1999,2005,P
235,6-02,166,player.php?p=almanca01,Carlos Almanzar,1997,2005,P
236,5-09,164,player.php?p=almeira01,Rafael Almeida,1911,1913,2B
237,6-03,190,player.php?p=almonbi01,Bill Almon,1974,1988,C
238,5-09,210,player.php?p=almonab01,Abraham Almonte,2013,2018,LF
239,6-03,220,player.php?p=almoned01,Edwin Almonte,2003,2003,P
240,6-02,180,player.php?p=almoner01,Erick Almonte,2001,2011,1B
241,6-02,190,player.php?p=almonhe01,Hector Almonte,1999,2003,P
242,6-02,210,player.php?p=almonmi01,Miguel Almonte,2015,2018,P
243,6-03,205,player.php?p=almonye01,Yency Almonte,2018,2018,P
244,6-00,205,player.php?p=almonzo01,Zoilo Almonte,2013,2014,RF
245,6-02,190,player.php?p=almoral01,Albert Almora Jr.,2016,2018,RF
246,6-02,195,player.php?p=alomalu01,Luis Aloma,1950,1953,P
247,6-00,190,player.php?p=alomaro01,Roberto Alomar,1988,2004,SS
248,5-09,155,player.php?p=alomasa01,Sandy Alomar,1964,1978,RF
249,6-05,235,player.php?p=alomasa02,"Sandy Alomar, Jr.",1988,2007,1B
250,6-01,230,player.php?p=alonsyo01,Yonder Alonso,2010,2018,2B
251,6-00,195,player.php?p=aloufe01,Felipe Alou,1958,1974,SS
252,6-02,195,player.php?p=alouje01,Jesus Alou,1963,1979,1B
253,5-09,160,player.php?p=alouma01,Matty Alou,1965,1974,P
254,6-03,190,player.php?p=aloumo01,Moises Alou,1990,2008,CF
255,5-10,180,player.php?p=alperwh01,Whitey Alperman,1906,1909,RF
256,6-00,180,player.php?p=alstode01,Dell Alston,1977,1980,CF
257,6-02,185,player.php?p=alstoga01,Garvin Alston,1996,1996,P
258,6-05,210,player.php?p=alstoto01,Tom Alston,1954,1957,1B
259,6-02,195,player.php?p=alstowa01,Walter Alston,1936,1936,1B
260,6-00,175,player.php?p=altampo01,Porfi Altamirano,1982,1984,P
261,5-11,200,player.php?p=altavda01,Dan Altavilla,2016,2018,P
262,6-00,175,player.php?p=altener01,Ernie Alten,1920,1920,P
263,5-09,158,player.php?p=altenje01,Jesse Altenburg,1916,1917,CF
264,6-05,215,player.php?p=altheaa01,Aaron Altherr,2014,2018,CF
265,5-10½,160,player.php?p=altizda01,Dave Altizer,1906,1911,RF
266,6-04,200,player.php?p=altmage01,George Altman,1959,1967,1B
267,6-00,185,player.php?p=altobjo01,Joe Altobelli,1955,1961,RF
268,5-10,197,player.php?p=altroni01,Nick Altrock,1898,1933,RF
269,5-06,165,player.php?p=altuvjo01,Jose Altuve,2011,2018,SS
270,6-03,175,player.php?p=alusige01,George Alusik,1958,1964,CF
271,6-02,245,player.php?p=alvarjo03,Jose Alvarado,2017,2018,1B
272,5-09,162,player.php?p=alvarlu01,Luis Alvarado,1968,1977,3B
273,6-02,180,player.php?p=alvarab01,Abe Alvarez,2004,2006,P
274,5-11,180,player.php?p=alvarcl01,Clemente Alvarez,2000,2000,C
275,6-02,180,player.php?p=alvarda02,Dariel Alvarez,2015,2016,CF
276,6-01,170,player.php?p=alvarda01,Dario Alvarez,2014,2017,P
277,6-01,205,player.php?p=alvarga01,Gabe Alvarez,1998,2000,LF
278,6-00,205,player.php?p=alvarhe01,Henderson Alvarez,2011,2017,P
279,5-10,170,player.php?p=alvarjo01,Jose Alvarez,1981,1989,P
280,5-11,190,player.php?p=alvarjo02,Jose Alvarez,2013,2018,P
281,6-00,184,player.php?p=alvarju01,Juan Alvarez,1999,2003,P
282,6-00,165,player.php?p=alvaror01,Orlando Alvarez,1973,1976,LF
283,5-10,165,player.php?p=alvaros01,Ossie Alvarez,1958,1959,3B
284,6-03,250,player.php?p=alvarpe01,Pedro Alvarez,2010,2018,1B
285,6-01,215,player.php?p=alvarrj01,R.J. Alvarez,2014,2015,P
286,5-11,183,player.php?p=alvarro01,Rogelio Alvarez,1960,1962,1B
287,6-03,245,player.php?p=alvarta01,Tavo Alvarez,1995,1996,P
288,6-01,200,player.php?p=alvarto01,Tony Alvarez,2002,2004,LF
289,5-10,150,player.php?p=alvarvi01,Victor Alvarez,2002,2003,P
290,6-01,235,player.php?p=alvarwi01,Wilson Alvarez,1989,2005,P
291,5-11,187,player.php?p=alvisma01,Max Alvis,1962,1970,SS
292,5-10,187,player.php?p=alvorbi01,Billy Alvord,1885,1893,2B
293,6-03,215,player.php?p=alyeabr01,Brant Alyea,1965,1972,1B
294,5-11,180,player.php?p=amalfjo01,Joey Amalfitano,1954,1967,1B
295,6-00,175,player.php?p=amarari01,Rich Amaral,1991,2000,SS
296,5-07,160,player.php?p=amarial01,Alexi Amarista,2015,2017,P
297,5-11,170,player.php?p=amaroru01,Ruben Amaro,1958,1969,LF
298,5-10,175,player.php?p=amaroru02,"Ruben Amaro, Jr.",1991,1998,1B
299,5-08½,165,player.php?p=amblewa01,Wayne Ambler,1937,1939,2B
300,6-01,190,player.php?p=ambrech01,Chip Ambres,2005,2008,RF
301,6-02,235,player.php?p=ambrihe01,Hector Ambriz,2010,2014,P
302,5-11,180,player.php?p=amelued01,Ed Amelung,1984,1986,CF
303,5-10½,185,player.php?p=amesre01,Red Ames,1903,1919,P
304,6-01,205,player.php?p=amesst01,Steve Ames,2013,2013,P
305,5-10,180,player.php?p=amezaal01,Alfredo Amezaga,2002,2011,1B
306,5-09,165,player.php?p=amoledo01,Doc Amole,1897,1898,P
307,6-03,182,player.php?p=amorvi01,Vicente Amor,1955,1957,P
308,5-07½,170,player.php?p=amorosa01,Sandy Amoros,1952,1960,RF
309,6-01,190,player.php?p=anckewa01,Walter Ancker,1915,1915,P
310,6-03,205,player.php?p=anderla02,Larry Andersen,1975,1994,P
311,5-11,165,player.php?p=anderal01,Alf Anderson,1941,1946,SS
312,6-00,186,player.php?p=anderal02,Allan Anderson,1986,1991,P
313,5-11,172,player.php?p=anderan01,Andy Anderson,1948,1949,1B
314,Unknown,Unknown,player.php?p=anderbi02,Bill Anderson,1889,1889,P
315,6-01,165,player.php?p=anderbi01,Bill Anderson,1925,1925,P
316,6-04½,210,player.php?p=anderbo01,Bob Anderson,1957,1963,P
317,6-01,202,player.php?p=anderbr01,Brady Anderson,1988,2002,RF
318,6-03,230,player.php?p=anderbr04,Brett Anderson,2009,2018,P
319,6-01,190,player.php?p=anderbr02,Brian Anderson,1993,2005,P
320,6-02,205,player.php?p=anderbr03,Brian Anderson,2005,2009,RF
321,6-03,185,player.php?p=anderbr06,Brian Anderson,2017,2018,3B
322,6-01,200,player.php?p=anderbr05,Bryan Anderson,2010,2015,1B
323,6-03,210,player.php?p=anderbu01,Bud Anderson,1982,1983,P
324,6-00,200,player.php?p=anderch01,Chase Anderson,2014,2018,P
325,6-04,240,player.php?p=anderco01,Cody Anderson,2015,2016,P
326,6-02,205,player.php?p=andercr01,Craig Anderson,1961,1964,P
327,Unknown,Unknown,player.php?p=anderda01,Dave Anderson,1889,1890,P
328,6-02,185,player.php?p=anderda02,Dave Anderson,1983,1992,1B
329,6-02,195,player.php?p=anderdr01,Drew Anderson,2006,2006,LF
330,6-03,185,player.php?p=anderdr02,Drew Anderson,2017,2018,P
331,5-11,165,player.php?p=anderdw01,Dwain Anderson,1971,1974,CF
332,6-01,200,player.php?p=anderfe01,Ferrell Anderson,1946,1953,C
333,6-02,180,player.php?p=anderfr01,Fred Anderson,1909,1918,P
334,6-03,190,player.php?p=anderga01,Garret Anderson,1994,2010,1B
335,5-08,160,player.php?p=anderge01,George Anderson,1914,1918,RF
336,Unknown,Unknown,player.php?p=andergo01,Goat Anderson,1907,1907,2B
337,5-11,160,player.php?p=anderha01,Hal Anderson,1932,1932,CF
338,6-03,210,player.php?p=anderha02,Harry Anderson,1957,1961,RF
339,6-00,170,player.php?p=anderja01,Jason Anderson,2003,2005,P
340,6-00,170,player.php?p=anderji01,Jim Anderson,1978,1984,RF
341,6-01,207,player.php?p=anderji02,Jimmy Anderson,1999,2004,P
342,6-02,180,player.php?p=anderjo01,John Anderson,1894,1908,3B
343,6-01,190,player.php?p=anderjo02,John Anderson,1958,1962,P
344,6-02,195,player.php?p=anderjo03,Josh Anderson,2007,2009,RF
345,6-03,220,player.php?p=anderju01,Justin Anderson,2018,2018,P
346,6-01,180,player.php?p=anderke01,Kent Anderson,1989,1990,RF
347,6-03,190,player.php?p=anderla01,Larry Anderson,1974,1977,P
348,6-04,215,player.php?p=anderla03,Lars Anderson,2010,2012,LF
349,5-11,198,player.php?p=anderma02,Marlon Anderson,1998,2009,CF
350,6-04,200,player.php?p=anderma01,Matt Anderson,1998,2005,P
351,6-02,200,player.php?p=andermi01,Mike Anderson,1979,1979,P
352,6-03,200,player.php?p=andermi02,Mike Anderson,1993,1993,P
353,6-03,210,player.php?p=anderre01,Red Anderson,1937,1941,P
354,6-02,210,player.php?p=anderri01,Rick Anderson,1979,1980,P
355,6-00,175,player.php?p=anderri02,Rick Anderson,1986,1988,P
356,6-06,190,player.php?p=andersc01,Scott Anderson,1987,1995,P
357,5-09,170,player.php?p=andersp01,Sparky Anderson,1959,1959,2B
358,6-02,195,player.php?p=anderta01,Tanner Anderson,2018,2018,P
359,6-01,185,player.php?p=anderti01,Tim Anderson,2016,2018,SS
360,6-04,210,player.php?p=anderty01,Tyler Anderson,2016,2018,P
361,5-10,165,player.php?p=anderva01,Varney Anderson,1889,1896,LF
362,6-02,160,player.php?p=anderwa01,Walter Anderson,1917,1919,P
363,5-10½,150,player.php?p=anderwi01,Wingo Anderson,1910,1910,P
364,6-00,185,player.php?p=andinro01,Robert Andino,2005,2016,CF
365,6-01,220,player.php?p=andrast01,Steve Andrade,2006,2006,P
366,6-04,200,player.php?p=andrejo01,John Andre,1955,1955,P
367,6-01,210,player.php?p=andrejo03,John Andreoli,2018,2018,LF
368,6-01,200,player.php?p=andreer01,Ernie Andres,1946,1946,3B
369,5-10,160,player.php?p=andreki01,Kim Andrew,1975,1975,2B
370,6-00,180,player.php?p=andrecl01,Clayton Andrews,2000,2000,P
371,5-08,160,player.php?p=andreed01,Ed Andrews,1884,1891,1B
372,6-00,175,player.php?p=andreel01,Elbert Andrews,1925,1925,P
373,5-08,163,player.php?p=andrefr01,Fred Andrews,1976,1977,2B
374,6-00,170,player.php?p=andrehu01,Hub Andrews,1947,1948,P
375,6-01,200,player.php?p=andreiv01,Ivy Andrews,1931,1938,P
376,Unknown,Unknown,player.php?p=andreji01,Jim Andrews,1890,1890,RF
377,5-10,175,player.php?p=andrejo02,John Andrews,1973,1973,P
378,6-03,195,player.php?p=andremi01,Mike Andrews,1966,1973,3B
379,6-00,195,player.php?p=andrena01,Nate Andrews,1937,1946,P
380,6-00,185,player.php?p=andrero01,Rob Andrews,1975,1979,3B
