,name,year,bmi,0,1
0,Jason Adam,2018.0,27.384868421052637,0.5671627129239569,0.432837287076043
1,Austin Adams,2017.0,28.88513513513513,0.34805170321863554,0.6519482967813645
2,Austin Adams,2018.0,28.88513513513513,0.23864186927290354,0.7613581307270965
3,Matt Albers,2006.0,29.68192906736724,0.5591880210935967,0.4408119789064034
4,Matt Albers,2007.0,29.68192906736724,0.7823020375618708,0.21769796243812928
5,Matt Albers,2008.0,29.68192906736724,0.6378518000553968,0.3621481999446033
6,Matt Albers,2009.0,29.68192906736724,0.9226270461618997,0.07737295383810033
7,Matt Albers,2010.0,29.68192906736724,0.8887547969468506,0.11124520305314946
8,Matt Albers,2011.0,29.68192906736724,0.823404333396486,0.17659566660351395
9,Matt Albers,2012.0,29.68192906736724,0.8017782900187411,0.19822170998125888
10,Matt Albers,2013.0,29.68192906736724,0.8350833226380034,0.1649166773619966
11,Matt Albers,2014.0,29.68192906736724,0.23378886397592036,0.7662111360240796
12,Matt Albers,2015.0,29.68192906736724,0.5236491660721421,0.4763508339278579
13,Matt Albers,2016.0,29.68192906736724,0.5420219368646689,0.45797806313533107
14,Matt Albers,2017.0,29.68192906736724,0.8872937925778608,0.11270620742213926
15,Matt Albers,2018.0,29.68192906736724,0.19482223012472133,0.8051777698752787
16,Sandy Alcantara,2017.0,20.690789473684212,0.2957179973612234,0.7042820026387766
17,Sandy Alcantara,2018.0,20.690789473684212,0.35141789425122905,0.648582105748771
18,Victor Alcantara,2017.0,24.39189189189189,0.29635243084499385,0.7036475691550061
19,Victor Alcantara,2018.0,24.39189189189189,0.4661527237562114,0.5338472762437886
20,Scott Alexander,2015.0,24.39189189189189,0.2951081428966196,0.7048918571033804
21,Scott Alexander,2016.0,24.39189189189189,0.4811190923366194,0.5188809076633806
22,Scott Alexander,2017.0,24.39189189189189,0.9501875242278635,0.049812475772136516
23,Scott Alexander,2018.0,24.39189189189189,0.897472575317271,0.102527424682729
24,Cody Allen,2012.0,27.70313379620942,0.6629569417625902,0.33704305823740976
25,Cody Allen,2013.0,27.70313379620942,0.983453007901218,0.01654699209878195
26,Cody Allen,2014.0,27.70313379620942,0.984064335560241,0.01593566443975897
27,Cody Allen,2015.0,27.70313379620942,0.9940411211927629,0.005958878807237093
28,Cody Allen,2016.0,27.70313379620942,0.9611461616228183,0.03885383837718171
29,Cody Allen,2017.0,27.70313379620942,0.9762289002392309,0.023771099760769063
30,Cody Allen,2018.0,27.70313379620942,0.7695880687065672,0.23041193129343282
31,Miguel Almonte,2015.0,26.959459459459453,0.2825451808084961,0.7174548191915039
32,Miguel Almonte,2017.0,26.959459459459453,0.24496432082847164,0.7550356791715284
33,Miguel Almonte,2018.0,26.959459459459453,0.1987955529343911,0.8012044470656089
34,Yency Almonte,2018.0,25.620444444444445,0.3852529404539212,0.6147470595460788
35,Dan Altavilla,2016.0,27.89129141043443,0.5338358098927003,0.46616419010729976
36,Dan Altavilla,2017.0,27.89129141043443,0.7544989633682554,0.2455010366317446
37,Dan Altavilla,2018.0,27.89129141043443,0.47039431317602354,0.5296056868239765
38,Jose Alvarez,2013.0,26.496726839912714,0.3843427997885738,0.6156572002114262
39,Jose Alvarez,2014.0,26.496726839912714,0.2635538726518617,0.7364461273481383
40,Jose Alvarez,2015.0,26.496726839912714,0.9321968643783193,0.06780313562168074
41,Jose Alvarez,2016.0,26.496726839912714,0.9487080000881258,0.05129199991187417
42,Jose Alvarez,2017.0,26.496726839912714,0.9165974260385507,0.08340257396144939
43,Jose Alvarez,2018.0,26.496726839912714,0.9424468605137125,0.05755313948628747
44,Brett Anderson,2009.0,28.744888888888887,0.9924914873899735,0.007508512610026494
45,Brett Anderson,2010.0,28.744888888888887,0.9591448490415266,0.04085515095847339
46,Brett Anderson,2011.0,28.744888888888887,0.7474852083331234,0.25251479166687657
47,Brett Anderson,2012.0,28.744888888888887,0.6444733069544186,0.3555266930455814
48,Brett Anderson,2013.0,28.744888888888887,0.4421008171384021,0.5578991828615979
49,Brett Anderson,2014.0,28.744888888888887,0.6413349504041954,0.35866504959580464
50,Brett Anderson,2015.0,28.744888888888887,0.9109699601670933,0.08903003983290672
51,Brett Anderson,2016.0,28.744888888888887,0.2337965206010314,0.7662034793989686
52,Brett Anderson,2017.0,28.744888888888887,0.5771914555447659,0.422808544455234
53,Brett Anderson,2018.0,28.744888888888887,0.5107652773921554,0.4892347226078446
54,Chase Anderson,2014.0,27.12191358024691,0.8307275075672508,0.16927249243274922
55,Chase Anderson,2015.0,27.12191358024691,0.938344421985289,0.06165557801471094
56,Chase Anderson,2016.0,27.12191358024691,0.8321607641870528,0.16783923581294719
57,Chase Anderson,2017.0,27.12191358024691,0.9824483056668063,0.01755169433319371
58,Chase Anderson,2018.0,27.12191358024691,0.7212249514566287,0.27877504854337126
59,Drew Anderson,2017.0,23.12088888888889,0.2656112476350241,0.7343887523649759
60,Drew Anderson,2018.0,23.12088888888889,0.4300970227868057,0.5699029772131943
61,Justin Anderson,2018.0,27.49511111111111,0.8812053082902086,0.11879469170979143
62,Tanner Anderson,2018.0,25.033783783783782,0.2569850370496226,0.7430149629503774
63,Tyler Anderson,2016.0,25.559210526315788,0.9597782559966365,0.04022174400336354
64,Tyler Anderson,2017.0,25.559210526315788,0.8208449330423784,0.17915506695762157
65,Tyler Anderson,2018.0,25.559210526315788,0.9093131247089394,0.09068687529106059
66,Matt Andriese,2015.0,28.12,0.6867991883757667,0.3132008116242333
67,Matt Andriese,2016.0,28.12,0.9595776716679926,0.04042232833200744
